cluster,participantes,sesiones_nocturnas,sesiones_totales,plataformas,plataformas_telemetria,dias_uso_tiempo,entradas_gaming,promis,wemwbs,gdt
0,569,1047.9068541300528,2289.8137082601056,3.4200351493848857,2.031634446397188,11.923766816143498,15.004484304932735,21.228486646884274,22.102941176470587,4.848297213622291
1,1117,190.07430617726052,669.5487914055506,1.8263205013428827,0.9015219337511191,6.506849315068493,6.5228310502283104,20.852988691437805,21.903381642512077,4.827526132404182
2,473,3056.735729386892,6209.46088794926,1.9577167019027484,1.2050739957716703,21.426573426573427,27.255244755244757,12.082379862700229,27.5675057208238,2.7948717948717947
3,385,382.8935064935065,1806.5272727272727,1.8857142857142857,1.2337662337662338,19.02139037433155,39.39572192513369,21.843866171003718,21.16788321167883,6.8
